gazebo-time, fl-z, foot-time, fl-contact, gazebo-time, fl-y, gazebo-time, fl-x, gazebo-time, fr-z, foot-time, fr-contact, gazebo-time, fr-y, gazebo-time, fr-x, gazebo-time, rl-z, foot-time, rl-contact, gazebo-time, rl-y, gazebo-time, rl-x, gazebo-time, rr-z, foot-time, rr-contact, gazebo-time, rr-y, gazebo-time, rr-x
2606.4140000000002146, 56.797959228811585319, 2606.4140000000002146, 1, 2606.4140000000002146, -10.371723854872017867, 2606.4140000000002146, 8.7605944585077608622, 2606.4140000000002146, 64.262508262852392704, 2606.4140000000002146, 1, 2606.4140000000002146, 11.765825603045060532, 2606.4140000000002146, -9.1497421848224078644, 2606.4140000000002146, 47.017883755334722196, 2606.4140000000002146, 1, 2606.4140000000002146, -6.3695431975225602628, 2606.4140000000002146, -2.9158338037709619073, 2606.4140000000002146, 36.125834070812288701, 2606.4140000000002146, 1, 2606.4140000000002146, 4.6054864663916355028, 2606.4140000000002146, 7.9435261842313895642
2606.4250000000001819, 56.797968362751618088, 2606.418999999999869, 1, 2606.4250000000001819, -10.371580132560685783, 2606.4250000000001819, 8.7605906502529506952, 2606.4250000000001819, 64.262509075735579245, 2606.418999999999869, 1, 2606.4250000000001819, 11.765677522733735572, 2606.4250000000001819, -9.1497419529707535446, 2606.4250000000001819, 47.017879286512261672, 2606.418999999999869, 1, 2606.4250000000001819, -6.3694663751849631694, 2606.4250000000001819, -2.9158355583187187676, 2606.4250000000001819, 36.125836297873377134, 2606.418999999999869, 1, 2606.4250000000001819, 4.6054138590905004946, 2606.4250000000001819, 7.94352667488448283
2606.4250000000001819, 56.797976584542283263, 2606.4239999999999782, 1, 2606.4250000000001819, -10.371450787234699931, 2606.4250000000001819, 8.7605872232640216168, 2606.4250000000001819, 64.262509886724771491, 2606.4239999999999782, 1, 2606.4250000000001819, 11.765529448458650563, 2606.4250000000001819, -9.1497417214644691796, 2606.4250000000001819, 47.017874816301841179, 2606.4239999999999782, 1, 2606.4250000000001819, -6.3693895542141589772, 2606.4250000000001819, -2.9158373122612637474, 2606.4250000000001819, 36.12583852640445059, 2606.4239999999999782, 1, 2606.4250000000001819, 4.6053412525023764701, 2606.4250000000001819, 7.9435271649378531578
2606.4299999999998363, 56.79798572136290602, 2606.4290000000000873, 1, 2606.4299999999998363, -10.371307075922743479, 2606.4299999999998363, 8.760583416026626935, 2606.4299999999998363, 64.262510695793565674, 2606.4290000000000873, 1, 2606.4299999999998363, 11.76538138026515945, 2606.4299999999998363, -9.1497414903117118001, 2606.4299999999998363, 47.017870344700057217, 2606.4290000000000873, 1, 2606.4299999999998363, -6.3693127346188855853, 2606.4299999999998363, -2.9158390655947599157, 2606.4299999999998363, 36.125840756443245994, 2606.4290000000000873, 1, 2606.4299999999998363, 4.6052686466212513494, 2606.4299999999998363, 7.9435276543804835825
2606.4360000000001492, 56.797995773552322873, 2606.4340000000001965, 1, 2606.4360000000001492, -10.371148999816790948, 2606.4360000000001492, 8.7605792286491706022, 2606.4360000000001492, 64.262511502919693385, 2606.4340000000001965, 1, 2606.4360000000001492, 11.76523331821744911, 2606.4360000000001492, -9.1497412595218179376, 2606.4360000000001492, 47.017865871677670953, 2606.4340000000001965, 1, 2606.4360000000001492, -6.3692359164030794005, 2606.4360000000001492, -2.9158408183088404542, 2606.4360000000001492, 36.125842987995916644, 2606.4340000000001965, 1, 2606.4360000000001492, 4.6051960414385408882, 2606.4360000000001492, 7.9435281431975397481
2606.4400000000000546, 56.798004913548595596, 2606.4389999999998508, 1, 2606.4400000000000546, -10.371005300463918886, 2606.4400000000000546, 8.7605754225234591104, 2606.4400000000000546, 64.262512308092141211, 2606.4389999999998508, 1, 2606.4400000000000546, 11.76508526237178387, 2606.4400000000000546, -9.1497410291066501031, 2606.4400000000000546, 47.017861397203802198, 2606.4389999999998508, 1, 2606.4400000000000546, -6.3691590995577591627, 2606.4400000000000546, -2.9158425703910673121, 2606.4400000000000546, 36.125845221072900415, 2606.4389999999998508, 1, 2606.4400000000000546, 4.6051234369499489674, 2606.4400000000000546, 7.9435286313943525016
2606.4450000000001637, 56.798014055121157639, 2606.44399999999996, 1, 2606.4450000000001637, -10.370861606986768066, 2606.4450000000001637, 8.7605716169488374589, 2606.4450000000001637, 64.262513111269385035, 2606.44399999999996, 1, 2606.4450000000001637, 11.764937212782735187, 2606.4450000000001637, -9.1497407990614370021, 2606.4450000000001637, 47.017856921282174198, 2606.44399999999996, 1, 2606.4450000000001637, -6.3690822841066543347, 2606.4450000000001637, -2.915844321835827202, 2606.4450000000001637, 36.125847455728518298, 2606.44399999999996, 1, 2606.4450000000001637, 4.6050508331582031829, 2606.4450000000001637, 7.9435291189479695362
2606.4499999999998181, 57.186459558589852747, 2606.4490000000000691, 1, 2606.4499999999998181, -10.352311083865872732, 2606.4499999999998181, 5.7317777487360679345, 2606.4499999999998181, 64.220942860799453911, 2606.4490000000000691, 1, 2606.4499999999998181, 11.760829359718224296, 2606.4499999999998181, -9.442039074144187083, 2606.4499999999998181, 46.951248521219866916, 2606.4490000000000691, 1, 2606.4499999999998181, -6.4965304890899284729, 2606.4499999999998181, -3.6221804669702670765, 2606.4499999999998181, 36.420159558656393983, 2606.4490000000000691, 1, 2606.4499999999998181, 4.6619146805126279176, 2606.4499999999998181, 6.4203607607304142846
2606.4549999999999272, 57.186468442164184012, 2606.4540000000001783, 1, 2606.4549999999999272, -10.352167399406901893, 2606.4549999999999272, 5.7317734639880484337, 2606.4549999999999272, 64.220943651835511901, 2606.4540000000001783, 1, 2606.4549999999999272, 11.760681322767338131, 2606.4549999999999272, -9.4420388484996493617, 2606.4549999999999272, 46.951244225130182031, 2606.4540000000001783, 1, 2606.4549999999999272, -6.4964536644723152037, 2606.4549999999999272, -3.6221821496000359275, 2606.4549999999999272, 36.420161928411516783, 2606.4540000000001783, 1, 2606.4549999999999272, 4.6618420817013301871, 2606.4549999999999272, 6.4203611526361701323
2606.4600000000000364, 57.186477327410500493, 2606.4589999999998327, 1, 2606.4600000000000364, -10.352023720974298016, 2606.4600000000000364, 5.7317691797232122042, 2606.4600000000000364, 64.220944440823288346, 2606.4589999999998327, 1, 2606.4600000000000364, 11.760533292257822069, 2606.4600000000000364, -9.442038623242684281, 2606.4600000000000364, 46.951239927521214668, 2606.4589999999998327, 1, 2606.4600000000000364, -6.496376841243653999, 2606.4600000000000364, -3.622183831541594401, 2606.4600000000000364, 36.420164299757679771, 2606.4589999999998327, 1, 2606.4600000000000364, 4.6617694835690350885, 2606.4600000000000364, 6.4203615438140939631
2606.4650000000001455, 57.186486214350836121, 2606.4650000000001455, 1, 2606.4650000000001455, -10.351880048619333863, 2606.4650000000001455, 5.7317648959418079357, 2606.4650000000001455, 64.220945227708000402, 2606.4650000000001455, 1, 2606.4650000000001455, 11.760385268241432044, 2606.4650000000001455, -9.4420383983666908989, 2606.4650000000001455, 46.951235628380665332, 2606.4650000000001455, 1, 2606.4650000000001455, -6.4963000194228612827, 2606.4650000000001455, -3.6221855127801561025, 2606.4650000000001455, 36.420166672725827084, 2606.4650000000001455, 1, 2606.4650000000001455, 4.661696886113463556, 2606.4650000000001455, 6.4203619342496729416
2606.4699999999997999, 57.186495103003899487, 2606.4690000000000509, 1, 2606.4699999999997999, -10.351736382398449621, 2606.4699999999997999, 5.7317606126591371662, 2606.4699999999997999, 64.220946012489392274, 2606.4690000000000509, 1, 2606.4699999999997999, 11.760237250785676721, 2606.4699999999997999, -9.4420381738910954539, 2606.4699999999997999, 46.951231327679650462, 2606.4690000000000509, 1, 2606.4699999999997999, -6.4962231989994867476, 2606.4699999999997999, -3.6221871933130600496, 2606.4699999999997999, 36.420169047337452639, 2606.4690000000000509, 1, 2606.4699999999997999, 4.6616242893265829039, 2606.4699999999997999, 6.4203623239373150966
2606.4749999999999091, 57.186503993386367029, 2606.4740000000001601, 1, 2606.4749999999999091, -10.351592722363729848, 2606.4749999999999091, 5.7317563298860605414, 2606.4749999999999091, 64.220946795127161977, 2606.4740000000001601, 1, 2606.4749999999999091, 11.760089239951822648, 2606.4749999999999091, -9.442037949809989783, 2606.4749999999999091, 46.951227025405820825, 2606.4740000000001601, 1, 2606.4749999999999091, -6.496146379993414044, 2606.4749999999999091, -3.6221888731269942241, 2606.4749999999999091, 36.420171423611904515, 2606.4740000000001601, 1, 2606.4749999999999091, 4.6615516932025666819, 2606.4749999999999091, 6.4203627128603475427
2606.4850000000001273, 57.186490407295295313, 2606.4789999999998145, 1, 2606.4850000000001273, -10.351571516232191073, 2606.4850000000001273, 5.7317551766487611076, 2606.4850000000001273, 64.220921831688940529, 2606.4789999999998145, 1, 2606.4850000000001273, 11.760081218730762842, 2606.4850000000001273, -9.4420384777161494583, 2606.4850000000001273, 46.951215621568678671, 2606.4789999999998145, 1, 2606.4850000000001273, -6.4961222921842658451, 2606.4850000000001273, -3.6221880162037543016, 2606.4850000000001273, 36.420168880897293207, 2606.4789999999998145, 1, 2606.4850000000001273, 4.6615186573247369139, 2606.4850000000001273, 6.4203622918544382969
2606.4850000000001273, 57.186499301560509423, 2606.4839999999999236, 1, 2606.4850000000001273, -10.351427868778177555, 2606.4850000000001273, 5.7317508948884388076, 2606.4850000000001273, 64.220922610284816301, 2606.4839999999999236, 1, 2606.4850000000001273, 11.759933221343780829, 2606.4850000000001273, -9.442038254457695956, 2606.4850000000001273, 46.951211316146341801, 2606.4839999999999236, 1, 2606.4850000000001273, -6.4960454759986827611, 2606.4850000000001273, -3.6221896945428504466, 2606.4850000000001273, 36.420171260658683821, 2606.4839999999999236, 1, 2606.4850000000001273, 4.6614460625178573139, 2606.4850000000001273, 6.420362679224529856
2606.4949999999998909, 57.186499770275112553, 2606.4890000000000327, 1, 2606.4949999999998909, -10.35133013654281342, 2606.4949999999998909, 5.7317477851093023844, 2606.4949999999998909, 64.220913735937557476, 2606.4890000000000327, 1, 2606.4949999999998909, 11.759837709111149451, 2606.4949999999998909, -9.4420383115666588481, 2606.4949999999998909, 46.951204346913783638, 2606.4890000000000327, 1, 2606.4949999999998909, -6.4959884325213472778, 2606.4949999999998909, -3.6221904219783596091, 2606.4949999999998909, 36.420171796892276461, 2606.4890000000000327, 1, 2606.4949999999998909, 4.6613883027486435751, 2606.4949999999998909, 6.4203627630150741368
2606.4949999999998909, 57.186508668310182202, 2606.4940000000001419, 1, 2606.4949999999998909, -10.351186501896874503, 2606.4949999999998909, 5.7317435044061006977, 2606.4949999999998909, 64.220914510184499591, 2606.4940000000001419, 1, 2606.4949999999998909, 11.759689725432522778, 2606.4949999999998909, -9.44203808915933962, 2606.4949999999998909, 46.951200038191942099, 2606.4940000000001419, 1, 2606.4949999999998909, -6.4959116191874866075, 2606.4949999999998909, -3.6221920988052040968, 2606.4949999999998909, 36.420174180180552526, 2606.4940000000001419, 1, 2606.4949999999998909, 4.6613157092278436622, 2606.4949999999998909, 6.420363148787423313
2606.5, 57.18651756822328025, 2606.4989999999997963, 1, 2606.5, -10.351042873738618866, 2606.5, 5.7317392242342748432, 2606.5, 64.220915282142087221, 2606.4989999999997963, 1, 2606.5, 11.759541748713713716, 2606.5, -9.442037867180310684, 2606.5, 46.951195727797184531, 2606.4989999999997963, 1, 2606.5, -6.495834807289332602, 2606.5, -3.6221937748615182784, 2606.5, 36.420176565259431811, 2606.4989999999997963, 1, 2606.5, 4.6612431163430620984, 2606.5, 6.420363533739944728
2606.5050000000001091, 57.18652647002159739, 2606.5039999999999054, 1, 2606.5050000000001091, -10.350899252129224237, 2606.5050000000001091, 5.7317349446091689913, 2606.5050000000001091, 64.220916051809069813, 2606.5039999999999054, 1, 2606.5050000000001091, 11.759393779030933302, 2606.5050000000001091, -9.4420376456446319935, 2606.5050000000001091, 46.951191415662840711, 2606.5039999999999054, 1, 2606.5050000000001091, -6.4957579968260805714, 2606.5050000000001091, -3.6221954501318691655, 2606.5050000000001091, 36.420178952158565266, 2606.5039999999999054, 1, 2606.5050000000001091, 4.6611705240902088221, 2606.5050000000001091, 6.4203639178676077393
2606.5100000000002183, 57.186535373761600454, 2606.5090000000000146, 1, 2606.5100000000002183, -10.350755637143358001, 2606.5100000000002183, 5.7317306655291879736, 2606.5100000000002183, 64.220916819131588227, 2606.5090000000000146, 1, 2606.5100000000002183, 11.759245816447945643, 2606.5100000000002183, -9.4420374245557923132, 2606.5100000000002183, 46.95118710178876853, 2606.5090000000000146, 1, 2606.5100000000002183, -6.4956811878135072291, 2606.5100000000002183, -3.6221971246048880744, 2606.5100000000002183, 36.42018134090095316, 2606.5090000000000146, 1, 2606.5100000000002183, 4.6610979324586230277, 2606.5100000000002183, 6.4203643011529365481
2606.5180000000000291, 57.18653023704742111, 2606.5140000000001237, 1, 2606.5180000000000291, -10.350688532240397421, 2606.5180000000000291, 5.731728336929297285, 2606.5180000000000291, 64.220901504390297987, 2606.5140000000001237, 1, 2606.5180000000000291, 11.759185305349094008, 2606.5180000000000291, -9.4420376680216122622, 2606.5180000000000291, 46.951178349762109576, 2606.5140000000001237, 1, 2606.5180000000000291, -6.4956373293965121718, 2606.5180000000000291, -3.6221972157738733245, 2606.5180000000000291, 36.42018065622362144, 2606.5140000000001237, 1, 2606.5180000000000291, 4.6610500649588795241, 2606.5180000000000291, 6.4203641797908304056
2606.5180000000000291, 57.186539144908365984, 2606.5210000000001855, 1, 2606.5180000000000291, -10.350544930694741907, 2606.5180000000000291, 5.7317240589778499782, 2606.5180000000000291, 64.220902267145731912, 2606.5210000000001855, 1, 2606.5180000000000291, 11.759037357207366981, 2606.5180000000000291, -9.4420374478517068439, 2606.5180000000000291, 46.95117403237338749, 2606.5210000000001855, 1, 2606.5180000000000291, -6.4955605232828323992, 2606.5180000000000291, -3.6221988886159230958, 2606.5180000000000291, 36.420183048786419988, 2606.5210000000001855, 1, 2606.5180000000000291, 4.6609774745625101033, 2606.5180000000000291, 6.4203645613611879384
2606.5250000000000909, 57.186548054787905926, 2606.5239999999998872, 1, 2606.5250000000000909, -10.350401335973458572, 2606.5250000000000909, 5.7317197815898381918, 2606.5250000000000909, 64.220903027476268221, 2606.5239999999998872, 1, 2606.5250000000000909, 11.758889416390321259, 2606.5250000000000909, -9.4420372281535804859, 2606.5250000000000909, 46.951169713163103836, 2606.5239999999998872, 1, 2606.5250000000000909, -6.4954837186391465309, 2606.5250000000000909, -3.6222005606263252275, 2606.5250000000000909, 36.420185443277055981, 2606.5239999999998872, 1, 2606.5250000000000909, 4.6609048847669445337, 2606.5250000000000909, 6.4203649420532400427
2606.5300000000002001, 57.186556966711030725, 2606.5289999999999964, 1, 2606.5300000000002001, -10.350257748136598934, 2606.5300000000002001, 5.7317155047856935823, 2606.5300000000002001, 64.220903785341619141, 2606.5289999999999964, 1, 2606.5300000000002001, 11.758741482983813498, 2606.5300000000002001, -9.4420370089318588214, 2606.5300000000002001, 46.95116539207891293, 2606.5289999999999964, 1, 2606.5300000000002001, -6.4954069154536959729, 2606.5300000000002001, -3.6222022317831132909, 2606.5300000000002001, 36.420187839717918621, 2606.5289999999999964, 1, 2606.5300000000002001, 4.6608322955720442593, 2606.5300000000002001, 6.4203653218616700826
2606.5349999999998545, 57.186565880706559994, 2606.5340000000001055, 1, 2606.5349999999998545, -10.350114167259992115, 2606.5349999999998545, 5.7317112285646345526, 2606.5349999999998545, 64.220904540707294927, 2606.5340000000001055, 1, 2606.5349999999998545, 11.758593557066072677, 2606.5349999999998545, -9.4420367901992676707, 2606.5349999999998545, 46.951161069119493163, 2606.5340000000001055, 1, 2606.5349999999998545, -6.4953301137433916423, 2606.5349999999998545, -3.6222039020822940358, 2606.5349999999998545, 36.420190238140861538, 2606.5340000000001055, 1, 2606.5349999999998545, 4.6607597069679007618, 2606.5349999999998545, 6.4203657007611187879
