gazebo-time, fl-z, foot-contact-time, fl-contact, gazebo-time, fr-z, foot-contact-time, fr-contact, gazebo-time, rl-z, foot-contact-time, rl-contact, gazebo-time, rr-z, foot-contact-time, rr-contact
2905.8820000000000618, 67.440297263152018559, 2905.8829999999998108, 1, 2905.8820000000000618, 53.79456955242397953, 2905.8829999999998108, 1, 2905.8820000000000618, 35.126583331508818731, 2905.8829999999998108, 1, 2905.8820000000000618, 47.419908085217954863, 2905.8829999999998108, 1
2905.8919999999998254, 67.440287448362838063, 2905.88799999999992, 1, 2905.8919999999998254, 53.794586106355005484, 2905.88799999999992, 1, 2905.8919999999998254, 35.126593805275682314, 2905.88799999999992, 1, 2905.8919999999998254, 47.419895301763354212, 2905.88799999999992, 1
2905.9119999999998072, 67.440277633514142508, 2905.8930000000000291, 1, 2905.9119999999998072, 53.794602660049889664, 2905.8930000000000291, 1, 2905.9119999999998072, 35.12660480272513297, 2905.8930000000000291, 1, 2905.9119999999998072, 47.419881172708173267, 2905.8930000000000291, 1
2905.9119999999998072, 67.440267818613165218, 2905.9009999999998399, 1, 2905.9119999999998072, 53.794619213515844081, 2905.9009999999998399, 1, 2905.9119999999998072, 35.126615276503471819, 2905.9009999999998399, 1, 2905.9119999999998072, 47.419867716473405039, 2905.9009999999998399, 1
2905.9209999999998217, 67.440258003660886743, 2905.9050000000002001, 1, 2905.9209999999998217, 53.794635766756016437, 2905.9050000000002001, 1, 2905.9209999999998217, 35.126625226569778704, 2905.9050000000002001, 1, 2905.9209999999998217, 47.419854933055205493, 2905.9050000000002001, 1
2905.931999999999789, 67.440248679399815046, 2905.9090000000001055, 1, 2905.931999999999789, 53.794651492112649294, 2905.9090000000001055, 1, 2905.931999999999789, 35.126635176648534298, 2905.9090000000001055, 1, 2905.931999999999789, 47.419842149654378716, 2905.9090000000001055, 1
2905.9520000000002256, 67.440238864339363545, 2905.9130000000000109, 1, 2905.9520000000002256, 53.794668044901641224, 2905.9130000000000109, 1, 2905.9520000000002256, 35.126646697802279107, 2905.9130000000000109, 1, 2905.9520000000002256, 47.419827347830910469, 2905.9130000000000109, 1
2905.9520000000002256, 67.440228558474586862, 2905.9180000000001201, 1, 2905.9520000000002256, 53.794685425092609421, 2905.9180000000001201, 1, 2905.9520000000002256, 35.126657695246343849, 2905.9180000000001201, 1, 2905.9520000000002256, 47.419813218836239344, 2905.9180000000001201, 1
2905.9609999999997854, 67.440218743298260051, 2905.9229999999997744, 1, 2905.9609999999997854, 53.794701977404507431, 2905.9229999999997744, 1, 2905.9609999999997854, 35.12666712164234184, 2905.9229999999997744, 1, 2905.9609999999997854, 47.419801108280438484, 2905.9229999999997744, 1
2905.9710000000000036, 67.440208928076245343, 2905.9279999999998836, 1, 2905.9710000000000036, 53.794718529488008585, 2905.9279999999998836, 1, 2905.9710000000000036, 35.126677595409709909, 2905.9279999999998836, 1, 2905.9710000000000036, 47.419787652110123588, 2905.9279999999998836, 1
2905.9810000000002219, 67.64329366668269472, 2905.9329999999999927, 1, 2905.9810000000002219, 54.196331148056835048, 2905.9329999999999927, 1, 2905.9810000000002219, 35.525931981869391052, 2905.9329999999999927, 1, 2905.9810000000002219, 47.418617748858565619, 2905.9329999999999927, 1
2905.9920000000001892, 67.44018929746535207, 2905.9380000000001019, 1, 2905.9920000000001892, 53.79475163297462359, 2905.9380000000001019, 1, 2905.9920000000001892, 35.12669854294824745, 2905.9380000000001019, 1, 2905.9920000000001892, 47.419760739818904938, 2905.9380000000001019, 1
2906.0019999999999527, 67.440179482086520579, 2905.943000000000211, 1, 2906.0019999999999527, 53.794768184371505981, 2905.943000000000211, 1, 2906.0019999999999527, 35.126709016714997347, 2905.943000000000211, 1, 2906.0019999999999527, 47.419747283682184502, 2905.943000000000211, 1
2906.012000000000171, 67.440169666646156088, 2905.9479999999998654, 1, 2906.012000000000171, 53.794784735540524423, 2905.9479999999998654, 1, 2906.012000000000171, 35.126719490475139196, 2905.9479999999998654, 1, 2906.012000000000171, 47.419733827566687978, 2905.9479999999998654, 1
2906.0320000000001528, 67.643239552253064062, 2905.9529999999999745, 1, 2906.0320000000001528, 54.196389757148082822, 2905.9529999999999745, 1, 2906.0320000000001528, 35.525982107760370354, 2905.9529999999999745, 1, 2906.0320000000001528, 47.418557475280785241, 2905.9529999999999745, 1
