gazebo-time, fl-z, foot-time, fl-contact, gazebo-time, fl-y, gazebo-time, fl-x, gazebo-time, fr-z, foot-time, fr-contact, gazebo-time, fr-y, gazebo-time, fr-x, gazebo-time, rl-z, foot-time, rl-contact, gazebo-time, rl-y, gazebo-time, rl-x, gazebo-time, rr-z, foot-time, rr-contact, gazebo-time, rr-y, gazebo-time, rr-x
5048.0500000000001819, 57.869791409009636141, 5048.0500000000001819, 1, 5048.0500000000001819, -7.5679043262884624355, 5048.0500000000001819, 3.0617937860076800405, 5048.0500000000001819, 63.418599841230566483, 5048.0500000000001819, 1, 5048.0500000000001819, 10.882428799167866984, 5048.0500000000001819, -10.008323944731017718, 5048.0500000000001819, 46.4760255529865276, 5048.0500000000001819, 1, 5048.0500000000001819, -5.8187940411196583668, 5048.0500000000001819, 2.680789322165750832, 5048.0500000000001819, 37.01715591039175024, 5048.0500000000001819, 1, 5048.0500000000001819, 1.8142460846686669917, 5048.0500000000001819, 3.4999514552757027275
5048.0500000000001819, 57.869800757642892108, 5048.0559999999995853, 1, 5048.0500000000001819, -7.5677943514693550853, 5048.0500000000001819, 3.0617822049893455016, 5048.0500000000001819, 63.418598080726255262, 5048.0559999999995853, 1, 5048.0500000000001819, 10.882307076697024684, 5048.0500000000001819, -10.00831534092694497, 5048.0500000000001819, 46.476018140555780178, 5048.0559999999995853, 1, 5048.0500000000001819, -5.8187363999931047687, 5048.0500000000001819, 2.6807790836525526856, 5048.0500000000001819, 37.01716092450040918, 5048.0559999999995853, 1, 5048.0500000000001819, 1.8142012474308224501, 5048.0500000000001819, 3.4999595341611566823
5048.0559999999995853, 57.869810106188481313, 5048.0640000000003056, 1, 5048.0559999999995853, -7.5676843781493809971, 5048.0559999999995853, 3.0617706239985764682, 5048.0559999999995853, 63.418596320155401713, 5048.0640000000003056, 1, 5048.0559999999995853, 10.882185355762926449, 5048.0559999999995853, -10.008306737092560468, 5048.0559999999995853, 46.476010728145162432, 5048.0640000000003056, 1, 5048.0559999999995853, -5.8186787596383258148, 5048.0559999999995853, 2.6807688451390134787, 5048.0559999999995853, 37.017165938600548714, 5048.0640000000003056, 1, 5048.0559999999995853, 1.8141564109211034683, 5048.0559999999995853, 3.4999676130144585784
5048.0649999999995998, 57.86982319394233798, 5048.0649999999995998, 1, 5048.0649999999995998, -7.5675304181268847614, 5048.0649999999995998, 3.0617544106649177138, 5048.0649999999995998, 63.418593855207681997, 5048.0649999999995998, 1, 5048.0649999999995998, 10.882014949154322991, 5048.0649999999995998, -10.008294691637143359, 5048.0649999999995998, 46.475999609535946888, 5048.0649999999995998, 1, 5048.0649999999995998, -5.8185923006595308138, 5048.0649999999995998, 2.6807534873830434208, 5048.0649999999995998, 37.017173459740796204, 5048.0649999999995998, 1, 5048.0649999999995998, 1.8140891576377886629, 5048.0649999999995998, 3.4999797312481746303
5048.069999999999709, 57.869836281495508956, 5048.069999999999709, 1, 5048.069999999999709, -7.5673764607405580307, 5048.069999999999709, 3.0617381973852317856, 5048.069999999999709, 63.418591390136327846, 5048.069999999999709, 1, 5048.069999999999709, 10.881844545259395929, 5048.069999999999709, -10.00828264610558449, 5048.069999999999709, 46.475989232177113308, 5048.069999999999709, 1, 5048.069999999999709, -5.8185116069793156868, 5048.069999999999709, 2.6807391534897071494, 5048.069999999999709, 37.017180479467540977, 5048.069999999999709, 1, 5048.069999999999709, 1.8140263892099408594, 5048.069999999999709, 3.4999910415572870193
5048.0749999999998181, 57.869842825185614288, 5048.0749999999998181, 1, 5048.0749999999998181, -7.5672994831626088086, 5048.0749999999998181, 3.0617300907756721529, 5048.0749999999998181, 63.418590157557808595, 5048.0749999999998181, 1, 5048.0749999999998181, 10.881759344455391059, 5048.0749999999998181, -10.008276623314696252, 5048.0749999999998181, 46.475984784743232581, 5048.0749999999998181, 1, 5048.0749999999998181, -5.8184770244737187284, 5048.0749999999998181, 2.680733010395236704, 5048.0749999999998181, 37.017183487934360642, 5048.0749999999998181, 1, 5048.0749999999998181, 1.8139994889309165593, 5048.0749999999998181, 3.4999958888130322521
5048.0799999999999272, 57.8698521732147384, 5048.0799999999999272, 1, 5048.0799999999999272, -7.567189516679950323, 5048.0799999999999272, 3.0617185099221764233, 5048.0799999999999272, 63.41858839662114633, 5048.0799999999999272, 1, 5048.0799999999999272, 10.88163763054005706, 5048.0799999999999272, -10.008268019268321325, 5048.0799999999999272, 46.475977372358656226, 5048.0799999999999272, 1, 5048.0799999999999272, -5.8184193876786407529, 5048.0799999999999272, 2.6807227719116824005, 5048.0799999999999272, 37.017188502021411978, 5048.0799999999999272, 1, 5048.0799999999999272, 1.8139546558101016238, 5048.0799999999999272, 3.5000039675479825974
5048.0870000000004438, 57.869852123563376267, 5048.0850000000000364, 1, 5048.0870000000004438, -7.5671307810827936891, 5048.0870000000004438, 3.0617152699404712735, 5048.0870000000004438, 63.418564539528844648, 5048.0850000000000364, 1, 5048.0870000000004438, 10.881580459991985421, 5048.0870000000004438, -10.008268418386862209, 5048.0870000000004438, 46.475961476773619552, 5048.0850000000000364, 1, 5048.0870000000004438, -5.8183770561436691793, 5048.0870000000004438, 2.6807208532951847246, 5048.0870000000004438, 37.017195022139901539, 5048.0850000000000364, 1, 5048.0870000000004438, 1.8139171988250897272, 5048.0870000000004438, 3.5000074454682348346
5048.0919999999996435, 57.718856164026917099, 5048.0900000000001455, 1, 5048.0919999999996435, -7.2343625623440388495, 5048.0919999999996435, 5.634921623864581619, 5048.0919999999996435, 63.454041780123205285, 5048.0900000000001455, 1, 5048.0919999999996435, 10.794357116648306771, 5048.0919999999996435, -9.8768390763846696245, 5048.0919999999996435, 46.37194017485303732, 5048.0900000000001455, 1, 5048.0919999999996435, -5.6365472342590505761, 5048.0919999999996435, 4.3503857511642252121, 5048.0919999999996435, 36.89481363023400462, 5048.0900000000001455, 1, 5048.0919999999996435, 1.5363084354830685019, 5048.0919999999996435, 4.7144271910543160686
5048.0969999999997526, 57.718866308636876283, 5048.0959999999995489, 1, 5048.0969999999997526, -7.2342415477075547869, 5048.0969999999997526, 5.6349093241542966837, 5048.0969999999997526, 63.454039639608140533, 5048.0959999999995489, 1, 5048.0969999999997526, 10.794223239840963657, 5048.0969999999997526, -9.8768296161909283626, 5048.0969999999997526, 46.371932183758289625, 5048.0959999999995489, 1, 5048.0969999999997526, -5.6364838690406031674, 5048.0969999999997526, 4.3503741941335434262, 5048.0969999999997526, 36.894818481223403239, 5048.0959999999995489, 1, 5048.0969999999997526, 1.5362590818407757531, 5048.0969999999997526, 4.7144362417944201127
