gazebo-time, fl-z, foot-contact-time, fl-contact, gazebo-time, fl-y, gazebo-time, fl-x, torque-time, fl-calf, torque-time, fl-hip, torque-time, fl-tigh, gazebo-time, fr-z, foot-contact-time, fr-contact, gazebo-time, fr-y, gazebo-time, fr-x, torque-time, fr-calf, torque-time, fr-hip, torque-time, fr-tigh, gazebo-time, rl-z, foot-contact-time, rl-contact, gazebo-time, rl-y, gazebo-time, rl-x, torque-time, rl-calf, torque-time, rl-hip, torque-time, rl-tigh, gazebo-time, rr-z, foot-contact-time, rr-contact, gazebo-time, rr-y, gazebo-time, rr-x, torque-time, rr-calf, torque-time, rr-hip, torque-time, rr-tigh
8330.8430000000007567, 67.855601073241274435, 8330.8410000000003492, 1, 8330.8430000000007567, -11.886098655172144589, 8330.8430000000007567, -14.866354416672237448, 8330.8369999999995343, -0.39185446500778198242, 8330.8369999999995343, -13.103161811828613281, 8330.8369999999995343, 9.9692773818969726563, 8330.8430000000007567, 53.157555244015021856, 8330.8410000000003492, 1, 8330.8430000000007567, 9.5806038152649364292, 8330.8430000000007567, 11.840954684018676346, 8330.8369999999995343, -0.090251103043556213379, 8330.8369999999995343, 2.5582292079925537109, 8330.8369999999995343, 15.595071792602539063, 8330.8430000000007567, 34.94039861355901877, 8330.8410000000003492, 1, 8330.8430000000007567, -3.4085604184363176294, 8330.8430000000007567, 11.731688251661072542, 8330.8369999999995343, -1.0267329216003417969, 8330.8369999999995343, 4.289188385009765625, 8330.8369999999995343, 11.474086761474609375, 8330.8430000000007567, 47.585625683600909497, 8330.8410000000003492, 1, 8330.8430000000007567, 5.9011386755732901932, 8330.8430000000007567, -4.6851433340289290186, 8330.8369999999995343, 1.1410416364669799805, 8330.8369999999995343, -5.7620935440063476563, 8330.8369999999995343, 8.7935190200805664063
8330.8430000000007567, 67.855601670507553536, 8330.8459999999995489, 1, 8330.8430000000007567, -11.88595812296913401, 8330.8430000000007567, -14.866359398835999883, 8330.8410000000003492, -0.39185446500778198242, 8330.8410000000003492, -13.103161811828613281, 8330.8410000000003492, 9.9692773818969726563, 8330.8430000000007567, 53.157563509351398068, 8330.8459999999995489, 1, 8330.8430000000007567, 9.5804667165205881219, 8330.8430000000007567, 11.840955836559260206, 8330.8410000000003492, -0.090251103043556213379, 8330.8410000000003492, 2.5582292079925537109, 8330.8410000000003492, 15.595071792602539063, 8330.8430000000007567, 34.940397497873398436, 8330.8459999999995489, 1, 8330.8430000000007567, -3.408494529016867336, 8330.8430000000007567, 11.731687158306405294, 8330.8410000000003492, -1.0267329216003417969, 8330.8410000000003492, 4.289188385009765625, 8330.8410000000003492, 11.474086761474609375, 8330.8430000000007567, 47.585623926097142089, 8330.8459999999995489, 1, 8330.8430000000007567, 5.9010719307128454147, 8330.8430000000007567, -4.6851437311656418672, 8330.8410000000003492, 1.1410416364669799805, 8330.8410000000003492, -5.7620935440063476563, 8330.8410000000003492, 8.7935190200805664063
8330.8479999999999563, 67.855602267697520347, 8330.8510000000005675, 1, 8330.8479999999999563, -11.885817592595570247, 8330.8479999999999563, -14.866364380840153103, 8330.8459999999995489, -0.39185446500778198242, 8330.8459999999995489, -13.103161811828613281, 8330.8459999999995489, 9.9692773818969726563, 8330.8479999999999563, 53.157571774516917174, 8330.8510000000005675, 1, 8330.8479999999999563, 9.580329619618655812, 8330.8479999999999563, 11.840956989011068856, 8330.8459999999995489, -0.090251103043556213379, 8330.8459999999995489, 2.5582292079925537109, 8330.8459999999995489, 15.595071792602539063, 8330.8479999999999563, 34.940396382225145544, 8330.8510000000005675, 1, 8330.8479999999999563, -3.4084286405834554046, 8330.8479999999999563, 11.731686065026535104, 8330.8459999999995489, -1.0267329216003417969, 8330.8459999999995489, 4.289188385009765625, 8330.8459999999995489, 11.474086761474609375, 8330.8479999999999563, 47.585622168543764587, 8330.8510000000005675, 1, 8330.8479999999999563, 5.9010051867736299513, 8330.8479999999999563, -4.6851441283962671491, 8330.8459999999995489, 1.1410416364669799805, 8330.8459999999995489, -5.7620935440063476563, 8330.8459999999995489, 8.7935190200805664063
8330.852999999999156, 67.85560286477928571, 8330.8559999999997672, 1, 8330.852999999999156, -11.885677064037160733, 8330.852999999999156, -14.866369362680728727, 8330.8510000000005675, -0.39185446500778198242, 8330.8510000000005675, -13.103161811828613281, 8330.8510000000005675, 9.9692773818969726563, 8330.852999999999156, 53.157580039560016871, 8330.8559999999997672, 1, 8330.852999999999156, 9.5801925245831878186, 8330.852999999999156, 11.840958141370482082, 8330.8510000000005675, -0.090251103043556213379, 8330.8510000000005675, 2.5582292079925537109, 8330.8510000000005675, 15.595071792602539063, 8330.852999999999156, 34.940395266598812896, 8330.8559999999997672, 1, 8330.852999999999156, -3.4083627531545914735, 8330.852999999999156, 11.731684971819939634, 8330.8510000000005675, -1.0267329216003417969, 8330.8510000000005675, 4.289188385009765625, 8330.8510000000005675, 11.474086761474609375, 8330.852999999999156, 47.585620410966654958, 8330.8559999999997672, 1, 8330.852999999999156, 5.90093844375857568, 8330.852999999999156, -4.685144525715859487, 8330.8510000000005675, 1.1410416364669799805, 8330.8510000000005675, -5.7620935440063476563, 8330.8510000000005675, 8.7935190200805664063
8330.8580000000001746, 67.855603461766676787, 8330.8610000000007858, 1, 8330.8580000000001746, -11.885536537308295735, 8330.8580000000001746, -14.866374344360600901, 8330.8559999999997672, -0.39185446500778198242, 8330.8559999999997672, -13.103161811828613281, 8330.8559999999997672, 9.9692773818969726563, 8330.8580000000001746, 53.157588304451110162, 8330.8610000000007858, 1, 8330.8580000000001746, 9.5800554313950776475, 8330.8580000000001746, 11.840959293637503436, 8330.8559999999997672, -0.090251103043556213379, 8330.8559999999997672, 2.5582292079925537109, 8330.8559999999997672, 15.595071792602539063, 8330.8580000000001746, 34.9403941510123488, 8330.8610000000007858, 1, 8330.8580000000001746, -3.4082968667185178369, 8330.8580000000001746, 11.73168387868971152, 8330.8559999999997672, -1.0267329216003417969, 8330.8559999999997672, 4.289188385009765625, 8330.8559999999997672, 11.474086761474609375, 8330.8580000000001746, 47.585618653340482354, 8330.8610000000007858, 1, 8330.8580000000001746, 5.900871701647837142, 8330.8580000000001746, -4.6851449231324551192, 8330.8559999999997672, 1.1410416364669799805, 8330.8559999999997672, -5.7620935440063476563, 8330.8559999999997672, 8.7935190200805664063
8330.8629999999993743, 67.99173703273102376, 8330.8659999999999854, 1, 8330.8629999999993743, -11.974068090389339503, 8330.8629999999993743, -14.156279999961761007, 8330.8610000000007858, -0.39185446500778198242, 8330.8610000000007858, -13.103161811828613281, 8330.8610000000007858, 9.9692773818969726563, 8330.8629999999993743, 53.779225593528664717, 8330.8659999999999854, 1, 8330.8629999999993743, 9.5636261871362453491, 8330.8629999999993743, 8.6049521443972167845, 8330.8610000000007858, -0.090251103043556213379, 8330.8610000000007858, 2.5582292079925537109, 8330.8610000000007858, 15.595071792602539063, 8330.8629999999993743, 35.496412543546789209, 8330.8659999999999854, 1, 8330.8629999999993743, -3.5296990363085045672, 8330.8629999999993743, 9.8805569746136754361, 8330.8610000000007858, -1.0267329216003417969, 8330.8610000000007858, 4.289188385009765625, 8330.8610000000007858, 11.474086761474609375, 8330.8629999999993743, 47.513090870943202049, 8330.8659999999999854, 1, 8330.8629999999993743, 6.081513668530552863, 8330.8629999999993743, -5.1655017751186242947, 8330.8610000000007858, 1.1410416364669799805, 8330.8610000000007858, -5.7620935440063476563, 8330.8610000000007858, 8.7935190200805664063
8330.8680000000003929, 67.991737864805685376, 8330.8719999999993888, 1, 8330.8680000000003929, -11.973927568267832555, 8330.8680000000003929, -14.156284974803806875, 8330.8659999999999854, -0.39185446500778198242, 8330.8659999999999854, -13.103161811828613281, 8330.8659999999999854, 9.9692773818969726563, 8330.8680000000003929, 53.779233871152420932, 8330.8719999999993888, 1, 8330.8680000000003929, 9.5634890951470694631, 8330.8680000000003929, 8.6049527946270103484, 8330.8659999999999854, -0.090251103043556213379, 8330.8659999999999854, 2.5582292079925537109, 8330.8659999999999854, 15.595071792602539063, 8330.8680000000003929, 35.496411597578841679, 8330.8719999999993888, 1, 8330.8680000000003929, -3.5296331482426821502, 8330.8680000000003929, 9.8805559417266621836, 8330.8659999999999854, -1.0267329216003417969, 8330.8659999999999854, 4.289188385009765625, 8330.8659999999999854, 11.474086761474609375, 8330.8680000000003929, 47.513089363105891039, 8330.8719999999993888, 1, 8330.8680000000003929, 6.0814469220422688878, 8330.8680000000003929, -5.1655021549450736984, 8330.8659999999999854, 1.1410416364669799805, 8330.8659999999999854, -5.7620935440063476563, 8330.8659999999999854, 8.7935190200805664063
8330.8729999999995925, 67.991738696791856, 8330.8760000000002037, 1, 8330.8729999999995925, -11.973787047980838594, 8330.8729999999995925, -14.156289949488137125, 8330.8709999999991851, -0.39185446500778198242, 8330.8709999999991851, -13.103161811828613281, 8330.8709999999991851, 9.9692773818969726563, 8330.8729999999995925, 53.779242148614727625, 8330.8760000000002037, 1, 8330.8729999999995925, 9.5633520050023648196, 8330.8729999999995925, 8.6049534447792979108, 8330.8709999999991851, -0.090251103043556213379, 8330.8709999999991851, 2.5582292079925537109, 8330.8709999999991851, 15.595071792602539063, 8330.8729999999995925, 35.496410651652595902, 8330.8760000000002037, 1, 8330.8729999999995925, -3.5295672611789465911, 8330.8729999999995925, 9.8805549089090565218, 8330.8709999999991851, -1.0267329216003417969, 8330.8709999999991851, 4.289188385009765625, 8330.8709999999991851, 11.474086761474609375, 8330.8729999999995925, 47.513087855225748513, 8330.8760000000002037, 1, 8330.8729999999995925, 6.0813801764789836568, 8330.8729999999995925, -5.1655025348589127532, 8330.8709999999991851, 1.1410416364669799805, 8330.8709999999991851, -5.7620935440063476563, 8330.8709999999991851, 8.7935190200805664063
8330.8780000000006112, 67.991739528664638215, 8330.8819999999996071, 1, 8330.8780000000006112, -11.973646529504959446, 8330.8780000000006112, -14.15629492400743672, 8330.8760000000002037, -0.39247491955757141113, 8330.8760000000002037, -13.103182792663574219, 8330.8760000000002037, 9.9692659378051757813, 8330.8780000000006112, 53.779250425945498648, 8330.8819999999996071, 1, 8330.8780000000006112, 9.5632149167300042336, 8330.8780000000006112, 8.6049540948447571509, 8330.8760000000002037, -0.089637905359268188477, 8330.8760000000002037, 2.5582277774810791016, 8330.8760000000002037, 15.595089912414550781, 8330.8780000000006112, 35.496409705760413544, 8330.8819999999996071, 1, 8330.8780000000006112, -3.5295013751101653732, 8330.8780000000006112, 9.8805538761676618975, 8330.8760000000002037, -1.0270251035690307617, 8330.8760000000002037, 4.2891850471496582031, 8330.8760000000002037, 11.47408294677734375, 8330.8780000000006112, 47.51308634731057623, 8330.8819999999996071, 1, 8330.8780000000006112, 6.0813134318298915915, 8330.8780000000006112, -5.1655029148686573137, 8330.8760000000002037, 1.1413366794586181641, 8330.8760000000002037, -5.7620930671691894531, 8330.8760000000002037, 8.7935152053833007813
8330.8880000000008295, 67.991740360452183722, 8330.886000000000422, 1, 8330.8880000000008295, -11.973506012860861247, 8330.8880000000008295, -14.156299898370267698, 8330.8819999999996071, -0.39255246520042419434, 8330.8819999999996071, -13.103185653686523438, 8330.8819999999996071, 9.9692640304565429688, 8330.8880000000008295, 53.779258703107601036, 8330.886000000000422, 1, 8330.8880000000008295, 9.563077830291332404, 8330.8880000000008295, 8.604954744827093549, 8330.8819999999996071, -0.089561261236667633057, 8330.8819999999996071, 2.5582275390625, 8330.8819999999996071, 15.5950927734375, 8330.8880000000008295, 35.496408759892673856, 8330.886000000000422, 1, 8330.8880000000008295, -3.5294354900250941576, 8330.8880000000008295, 9.8805528434920404379, 8330.8819999999996071, -1.0270615816116333008, 8330.8819999999996071, 4.2891845703125, 8330.8819999999996071, 11.474081993103027344, 8330.8880000000008295, 47.513084839354156941, 8330.886000000000422, 1, 8330.8880000000008295, 6.0812466881000251107, 8330.8880000000008295, -5.1655032949739130288, 8330.8819999999996071, 1.1413735151290893555, 8330.8819999999996071, -5.7620930671691894531, 8330.8819999999996071, 8.793514251708984375
