gazebo-time, fl-z, foot-time, fl-contact, gazebo-time, fl-y, gazebo-time, fl-x, gazebo-time, fr-z, foot-time, fr-contact, gazebo-time, fr-y, gazebo-time, fr-x, gazebo-time, rl-z, foot-time, rl-contact, gazebo-time, rl-y, gazebo-time, rl-x, gazebo-time, rr-z, foot-time, rr-contact, gazebo-time, rr-y, gazebo-time, rr-x
2639.4290000000000873, 57.489605291968331358, 2639.4340000000001965, 1, 2639.4290000000000873, -10.741110513580343522, 2639.4290000000000873, 3.6748047467148161616, 2639.4290000000000873, 63.928715163871416394, 2639.4340000000001965, 1, 2639.4290000000000873, 12.086069360122948524, 2639.4290000000000873, -10.420842345261302597, 2639.4290000000000873, 46.61543833048832397, 2639.4340000000001965, 1, 2639.4290000000000873, -7.2604121483287986649, 2639.4290000000000873, -1.6633541110814995534, 2639.4290000000000873, 36.744591177693777695, 2639.4340000000001965, 1, 2639.4290000000000873, 5.5249552460035999957, 2639.4290000000000873, 7.5980648926910223651
2639.4369999999998981, 57.489613192873818548, 2639.4389999999998508, 1, 2639.4369999999998981, -10.740963387444985244, 2639.4369999999998981, 3.6748006196858646888, 2639.4369999999998981, 63.928716720050957179, 2639.4389999999998508, 1, 2639.4369999999998981, 12.085917845118844482, 2639.4369999999998981, -10.42084166585157945, 2639.4369999999998981, 46.615434983596522045, 2639.4389999999998508, 1, 2639.4369999999998981, -7.2603217411829819028, 2639.4369999999998981, -1.6633559311813002068, 2639.4369999999998981, 36.744593725068568801, 2639.4389999999998508, 1, 2639.4369999999998981, 5.524869485582673434, 2639.4369999999998981, 7.5980656867972431456
2639.44399999999996, 57.489600324158416811, 2639.4490000000000691, 1, 2639.44399999999996, -10.740926426739791921, 2639.44399999999996, 3.674799311851174366, 2639.44399999999996, 63.928694584035625326, 2639.4490000000000691, 1, 2639.44399999999996, 12.085876216848234321, 2639.44399999999996, -10.420842254840987806, 2639.44399999999996, 46.615422942275593243, 2639.4490000000000691, 1, 2639.44399999999996, -7.2602765323096560834, 2639.44399999999996, -1.6633557585829947811, 2639.44399999999996, 36.744590539963894571, 2639.4490000000000691, 1, 2639.44399999999996, 5.5248163661848010975, 2639.44399999999996, 7.5980655323059771433
2639.4520000000002256, 57.489616086064444289, 2639.4499999999998181, 1, 2639.4520000000002256, -10.740632194633514374, 2639.4520000000002256, 3.6747910490302224673, 2639.4520000000002256, 63.92869758093027599, 2639.4499999999998181, 1, 2639.4520000000002256, 12.085588336328861203, 2639.4520000000002256, -10.420840954819809099, 2639.4520000000002256, 46.615417944286278384, 2639.4499999999998181, 1, 2639.4520000000002256, -7.2601409878486657945, 2639.4520000000002256, -1.6633584998475008376, 2639.4520000000002256, 36.744594337695829722, 2639.4499999999998181, 1, 2639.4520000000002256, 5.524687813147599158, 2639.4520000000002256, 7.5980667345311214689
2639.4569999999998799, 57.489615056355944489, 2639.4540000000001783, 1, 2639.4569999999998799, -10.74053229109689056, 2639.4569999999998799, 3.6747881278204701516, 2639.4569999999998799, 63.928688947089526096, 2639.4540000000001783, 1, 2639.4569999999998799, 12.085490407187826634, 2639.4569999999998799, -10.420840845686356602, 2639.4569999999998799, 46.615409708716370574, 2639.4540000000001783, 1, 2639.4569999999998799, -7.260037742784205328, 2639.4569999999998799, -1.6633601292130180127, 2639.4569999999998799, 36.744595311035048724, 2639.4540000000001783, 1, 2639.4569999999998799, 5.5245855025532337734, 2639.4569999999998799, 7.5980674195936028781
2639.4619999999999891, 57.489622913391244197, 2639.4600000000000364, 1, 2639.4619999999999891, -10.740385186285644536, 2639.4619999999999891, 3.674783991264781946, 2639.4619999999999891, 63.928690548619762524, 2639.4600000000000364, 1, 2639.4619999999999891, 12.085338888808786706, 2639.4619999999999891, -10.420840156012957323, 2639.4619999999999891, 46.615406395460304623, 2639.4600000000000364, 1, 2639.4619999999999891, -7.2599474359585043359, 2639.4619999999999891, -1.6633619661404388523, 2639.4619999999999891, 36.744597823145937809, 2639.4600000000000364, 1, 2639.4619999999999891, 5.5244998758335857048, 2639.4619999999999891, 7.5980682304848716768
2639.4670000000000982, 57.489630759421757489, 2639.4639999999999418, 1, 2639.4670000000000982, -10.740238086401197037, 2639.4670000000000982, 3.6747798523819099614, 2639.4670000000000982, 63.928692161366058144, 2639.4639999999999418, 1, 2639.4670000000000982, 12.085187369010457203, 2639.4670000000000982, -10.420839463835356753, 2639.4670000000000982, 46.61540309032297813, 2639.4639999999999418, 1, 2639.4670000000000982, -7.2598571536570943863, 2639.4670000000000982, -1.6633638071885812337, 2639.4670000000000982, 36.744600326666656542, 2639.4639999999999418, 1, 2639.4670000000000982, 5.524414282375150087, 2639.4670000000000982, 7.5980690455090122981
2639.4769999999998618, 57.489638593569168279, 2639.4699999999997999, 1, 2639.4769999999998618, -10.740090991734565051, 2639.4769999999998618, 3.6747757109884311433, 2639.4769999999998618, 63.928693786279104927, 2639.4699999999997999, 1, 2639.4769999999998618, 12.085035847477382021, 2639.4769999999998618, -10.420838768979052702, 2639.4769999999998618, 46.61539979388015098, 2639.4699999999997999, 1, 2639.4769999999998618, -7.2597668977415299452, 2639.4769999999998618, -1.6633656526637246031, 2639.4769999999998618, 36.74460282101499331, 2639.4699999999997999, 1, 2639.4769999999998618, 5.5243287249452484033, 2639.4769999999998618, 7.5980698649671847278
2639.4769999999998618, 57.4896464148084263, 2639.4749999999999091, 1, 2639.4769999999998618, -10.739943902606242432, 2639.4769999999998618, 3.6747715669031144614, 2639.4769999999998618, 63.928695424389843538, 2639.4749999999999091, 1, 2639.4769999999998618, 12.084884323844423903, 2639.4769999999998618, -10.420838071228821775, 2639.4769999999998618, 46.615396506758152384, 2639.4749999999999091, 1, 2639.4769999999998618, -7.2596766702714150554, 2639.4769999999998618, -1.6633675029157188874, 2639.4769999999998618, 36.744605305530797068, 2639.4749999999999091, 1, 2639.4769999999998618, 5.524243206626332281, 2639.4769999999998618, 7.5980706892028777588
2639.4859999999998763, 57.489654222043114373, 2639.4789999999998145, 1, 2639.4859999999998763, -10.739796819391099092, 2639.4859999999998763, 3.6747674199070488044, 2639.4859999999998763, 63.928697076852827763, 2639.4789999999998145, 1, 2639.4859999999998763, 12.084732797705086682, 2639.4859999999998763, -10.420837370360757745, 2639.4859999999998763, 46.615393229634491945, 2639.4789999999998145, 1, 2639.4859999999998763, -7.2595864735291231185, 2639.4859999999998763, -1.6633693583013808848, 2639.4859999999998763, 36.744607779477561849, 2639.4789999999998145, 1, 2639.4859999999998763, 5.5241577308773441857, 2639.4859999999998763, 7.5980715186041987153
